query_id,asin,label,gold_type,relevance,pool_type,matched_axes
1,B00FTY5DXG,gold,primary,1.0,gold,
1,B07MGWMT9X,gold,extra,0.8,gold,
1,B00J1OIDZ0,gold,negative,-1.0,gold,
1,B0BB9HNWT7,gold,negative,-1.0,gold,
1,B07HMKHK85,candidate,,0.0,hard,肤质
1,B0B6VRG3YB,candidate,,0.0,hard,肤质
1,B075RNVF6B,candidate,,0.0,hard,肤质
1,B07QKV7VB7,candidate,,0.0,hard,肤质
1,B0B1D8NJRD,candidate,,0.0,hard,肤质
1,B01MY5N8BP,candidate,,0.0,hard,肤质
1,B07LCCBQZK,candidate,,0.0,hard,肤质
1,B076KQL39T,candidate,,0.0,hard,肤质
1,B07QN5NXY7,candidate,,0.0,hard,肤质
1,B0BLTY8TJL,candidate,,0.0,hard,肤质
1,B07LCCTN6X,candidate,,0.0,hard,肤质
1,B00KG8BL1S,candidate,,0.0,hard,肤质
1,B0CHGDT817,candidate,,0.0,hard,肤质
1,B06W5HGF42,candidate,,0.0,hard,肤质
1,B07YMW28BV,candidate,,0.0,hard,肤质
1,B01B8BR0KC,candidate,,0.0,random,
1,B01N0ZS22T,candidate,,0.0,random,
1,B01HBHLVQ6,candidate,,0.0,random,
1,B004X8IELC,candidate,,0.0,random,
1,B01KAHW5PA,candidate,,0.0,random,
1,B01BFMGEVK,candidate,,0.0,random,
1,B081BCD8YJ,candidate,,0.0,random,
1,B01BFMGER4,candidate,,0.0,random,
1,B07VRWVLDL,candidate,,0.0,random,
1,B07XY1RXCQ,candidate,,0.0,random,
1,B09HX2HR33,candidate,,0.0,random,
1,B013L800JI,candidate,,0.0,random,
1,B00S9JYC4E,candidate,,0.0,random,
1,B01H1F500Q,candidate,,0.0,random,
1,B00M5IFXY8,candidate,,0.0,random,
1,B01A3OTEMM,candidate,,0.0,random,
1,B07BD4QNJ5,candidate,,0.0,random,
1,B01NCRBMQJ,candidate,,0.0,random,
1,B00KX9NQ2M,candidate,,0.0,random,
1,B01EO5V3LG,candidate,,0.0,random,
1,B07YQCN4BV,candidate,,0.0,random,
1,B01B8BR0QQ,candidate,,0.0,random,
1,B07CZ51ZLS,candidate,,0.0,random,
1,B01N1GTA1S,candidate,,0.0,random,
1,B07547GJBS,candidate,,0.0,random,
1,B07B45VPDM,candidate,,0.0,random,
1,B0773G2WBM,candidate,,0.0,random,
1,B08KGS7C85,candidate,,0.0,random,
1,B083SCQYRJ,candidate,,0.0,random,
1,B07D9PNFF2,candidate,,0.0,random,
1,B003WC6TH6,candidate,,0.0,random,
1,B00XD5OLTU,candidate,,0.0,random,
1,B01N1UUETU,candidate,,0.0,random,
1,B0B2RSLZB3,candidate,,0.0,random,
1,B07B468F58,candidate,,0.0,random,
2,B0BB9HNWT7,gold,primary,1.0,gold,
2,B07BD4QNJ5,gold,extra,0.8,gold,
2,B00LTFW9XQ,gold,extra,0.8,gold,
2,B078WPTL1Z,gold,negative,-1.0,gold,
2,B07KHGF8WX,gold,negative,-1.0,gold,
2,B07C7LZV98,candidate,,0.0,hard,质地
2,B07FH6WR58,candidate,,0.0,hard,质地
2,B07D9NTTX9,candidate,,0.0,hard,质地
2,B008BM8WV8,candidate,,0.0,hard,质地
2,B09QYWTZNZ,candidate,,0.0,hard,质地
2,B08K2WH8LK,candidate,,0.0,hard,质地
2,B0099MFXOS,candidate,,0.0,hard,质地
2,B00DUVNQQG,candidate,,0.0,hard,质地
2,B00XD6BL56,candidate,,0.0,hard,质地
2,B08K2V6WGH,candidate,,0.0,hard,质地
2,B08HJPFYVY,candidate,,0.0,hard,质地
2,B00YF00T5M,candidate,,0.0,hard,质地
2,B07NP7ZKK4,candidate,,0.0,hard,质地
2,B07TXX8D7N,candidate,,0.0,hard,质地
2,B07BSJNCFW,candidate,,0.0,hard,质地
2,B07MKJZVHR,candidate,,0.0,random,
